instrument,chord,fingering
baritone_ukulele,Em7,"[0,0,0,0]"
guitar,Em7,"[0,2,0,0,0,0]"
mandolin,Em7,"[7,5,7,x]"
ukulele,Em7,"[0,2,0,2]"
baritone_ukulele,F,"[3,2,1,1]"
guitar,F,"[1,3,3,2,1,1]"
mandolin,F,"[5,3,0,1]"
ukulele,F,"[2,0,1,0]"
baritone_ukulele,F#,"[4,3,2,2]"
guitar,F#,"[2,4,4,3,2,2]"
mandolin,F#,"[6,8,9,x]"
ukulele,F#,"[3,1,2,1]"
baritone_ukulele,F#7,"[2,3,2,2]"
guitar,F#7,"[2,4,2,3,2,2]"
mandolin,F#7,"[6,4,7,6]"
ukulele,F#7,"[3,4,2,4]"
baritone_ukulele,F#m,"[4,2,2,2]"
guitar,F#m,"[2,4,4,2,2,2]"
mandolin,F#m,"[6,4,0,2]"
ukulele,F#m,"[2,1,2,0]"
baritone_ukulele,F#m7,"[2,2,2,2]"
guitar,F#m7,"[2,4,2,2,2,2]"
mandolin,F#m7,"[6,4,0,0]"
ukulele,F#m7,"[2,4,2,4]"
baritone_ukulele,F7,"[1,2,1,1]"
guitar,F7,"[1,3,1,2,1,1]"
mandolin,F7,"[2,1,3,1]"
ukulele,F7,"[2,3,1,3]"
baritone_ukulele,Fm,"[3,1,1,1]"
guitar,Fm,"[1,3,3,1,1,1]"
mandolin,Fm,"[5,3,3,4]"
ukulele,Fm,"[1,0,1,3]"
baritone_ukulele,Fm7,"[1,1,1,1]"
guitar,Fm7,"[x,x,1,1,1,1]"
mandolin,Fm7,"[8,6,8,x]"
ukulele,Fm7,"[1,3,1,3]"
baritone_ukulele,G,"[0,0,0,3]"
guitar,G,"[3,2,0,0,0,3]"
mandolin,G,"[0,0,2,3]"
ukulele,G,"[0,2,3,2]"
baritone_ukulele,G#,"[1,1,1,4]"
guitar,G#,"[x,x,1,1,1,4]"
mandolin,G#,"[8,6,3,4]"
ukulele,G#,"[1,3,4,3]"
baritone_ukulele,G#7,"[1,1,1,2]"
guitar,G#7,"[x,x,1,1,1,2]"
mandolin,G#7,"[5,4,6,4]"
ukulele,G#7,"[1,3,2,3]"
baritone_ukulele,G#m,"[6,4,4,4]"
guitar,G#m,"[4,6,6,4,4,4]"
mandolin,G#m,"[8,6,2,4]"
ukulele,G#m,"[1,3,4,2]"
baritone_ukulele,G#m7,"[1,1,0,2]"
guitar,G#m7,"[x,x,1,1,0,2]"
mandolin,G#m7,"[4,4,6,4]"
ukulele,G#m7,"[1,3,2,2]"
baritone_ukulele,G7,"[0,0,0,1]"
guitar,G7,"[3,2,0,0,0,1]"
mandolin,G7,"[7,5,8,7]"
ukulele,G7,"[0,2,1,2]"
baritone_ukulele,Gm,"[5,3,3,3]"
guitar,Gm,"[3,5,5,3,3,3]"
mandolin,Gm,"[0,0,1,3]"
ukulele,Gm,"[0,2,3,1]"
baritone_ukulele,Gm7,"[3,3,3,3]"
guitar,Gm7,"[3,5,3,3,3,3]"
mandolin,Gm7,"[7,5,8,6]"
ukulele,Gm7,"[0,2,1,1]"
guitar,Cdim,"[x,x,4,5,4,x]"
guitar,C#dim,"[x,x,2,0,2,0]"
guitar,Ddim,"[x,x,0,1,3,1]"
guitar,D#dim,"[x,x,1,2,4,2]"
guitar,Edim,"[x,1,2,0,x,x]"
guitar,Fdim,"[x,x,3,1,0,x]"
guitar,F#dim,"[x,x,4,2,1,x]"
guitar,Gdim,"[x,x,5,3,2,x]"
guitar,G#dim,"[x,x,0,1,0,x]"
guitar,Adim,"[x,x,1,2,1,x]"
guitar,A#dim,"[x,x,2,3,2,0]"
guitar,Bdim,"[x,x,0,4,0,1]"
ukulele,Cdim,"[5,3,2,3]"
ukulele,C#dim,"[0,1,0,4]"
